application,file,key_combination,title,description,reason,ai_validated,is_valid,validation_confidence,validation_reason,suggested_correction
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_macos_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_macos_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_macos_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_macos_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_windows_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_macos_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
kiro,kiro_macos_shortcuts_latest.csv,,+/,+/,malformed_pattern,True,False,0.3,"The shortcut consists of only a single character '+', which is likely an incomplete or malformed shortcut.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+,+,malformed_pattern,True,False,0.8,"The shortcut ''+'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+,+,malformed_pattern,True,False,0.8,"The shortcut ''+'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+,+,malformed_pattern,True,False,0.8,"The shortcut ''+'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+,+,malformed_pattern,True,False,0.8,"The shortcut ''+'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+,+,malformed_pattern,True,False,0.8,"The shortcut ''+'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+,+,malformed_pattern,True,False,0.8,"The shortcut ''+'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,++,++,malformed_pattern,True,False,0.8,"The shortcut ''++'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+++,+++,malformed_pattern,True,False,0.8,"The shortcut ''+++'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+++,+++,malformed_pattern,True,False,0.8,"The shortcut ''+++'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+,+,malformed_pattern,True,False,0.8,"The shortcut ''+'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+,+,malformed_pattern,True,False,0.8,"The shortcut ''+'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+,+,malformed_pattern,True,False,0.8,"The shortcut ''+'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+,+,malformed_pattern,True,False,0.8,"The shortcut ''+'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+,+,malformed_pattern,True,False,0.8,"The shortcut ''+'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+,+,malformed_pattern,True,False,0.8,"The shortcut ''+'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+,+,malformed_pattern,True,False,0.8,"The shortcut ''+'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,++,++,malformed_pattern,True,False,0.8,"The shortcut ''++'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
rstudio,rstudio_macos_shortcuts_latest.csv,,+++,+++,malformed_pattern,True,False,0.8,"The shortcut ''+++'' is not a valid keyboard shortcut for RStudio. RStudio uses a combination of keys, such as Ctrl/Cmd + key, to trigger shortcuts.",
