application_name,platform,key_combination,title,description,category,confidence_score,extraction_method,run_version,timestamp
Kiro,Unknown,:38,"/10/26, 12 PM","/10/26, 12 PM",General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,:38,"/10/26, 12 PM","/10/26, 12 PM",General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Tab,Close,Close,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,:38,"/10/26, 12 PM","/10/26, 12 PM",General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Up,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Down,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Up,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Down,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Up,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Down,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Up,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Down,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Up,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Down,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Up,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Down,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Up,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Down,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Up,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Down,+/,+/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Up,/,/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Down,/,/,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,Delete,Line,Line,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,:38,"/10/26, 12 PM","/10/26, 12 PM",General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,F5,Action,Action,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,F5,Action,Action,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,F5,Action,Action,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,F5,Action,Action,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,F5,Action,Action,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,F5,Action,Action,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,F5,Action,Action,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,F5,Action,Action,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,enter,Choose the pencil icon and,Choose the pencil icon and,General,75.0,python_list_parser,001,20260111_122012
Kiro,Unknown,:38,"/10/26, 12 PM","/10/26, 12 PM",General,75.0,python_list_parser,001,20260111_122012
