application_name,platform,key_combination,title,description,category,confidence_score,extraction_method,run_version,timestamp
Kiro,macOS,Cmd,++P,++P,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,++P,++P,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,++P,++P,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,++P,++P,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+K +S,+K +S,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+K +S,+K +S,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+K +S,+K +S,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+K +S,+K +S,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+K +S,+K +S,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+K +S,+K +S,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+K +S,+K +S,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+K +S,+K +S,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,⌘ K,Action,Action,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+N,+N,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+N,+N,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+N,+N,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+N,+N,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+W,+W,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+W,+W,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+W,+W,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+W,+W,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+S,+S,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+S,+S,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+S,+S,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,+S,+S,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,++S,++S,General,75.0,python_list_parser,001,20260111_122012
Kiro,macOS,Cmd,++S,++S,General,75.0,python_list_parser,001,20260111_122012
