application_name,platform,key_combination,title,description,category,confidence_score,extraction_method,run_version,timestamp
Kiro,Windows,Shift,++P,++P,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Shift,++P,++P,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Shift,++P,++P,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Shift,++P,++P,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+Shift+P,+Shift+P,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+Shift+P,+Shift+P,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+Shift+P,+Shift+P,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+Shift+P,+Shift+P,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+K,+K,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+K,+K,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+K,+K,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+K,+K,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+S,+S,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+S,+S,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+S,+S,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+S,+S,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+N,+N,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+N,+N,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+N,+N,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+N,+N,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+W,+W,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+W,+W,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+W,+W,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+W,+W,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+S,+S,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+S,+S,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+S,+S,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+S,+S,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Shift,++S,++S,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Shift,++S,++S,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Shift,++S,++S,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Shift,++S,++S,General,75.0,python_list_parser,001,20260111_122012
Kiro,Windows,Ctrl,+Shift+S,+Shift+S,General,75.0,python_list_parser,001,20260111_122012
